Timestamp,Value
0.6289064884185791,100.283203125
2.0898337364196777,100.283203125
3.54602313041687,100.283203125
5.027336359024048,100.283203125
6.482920408248901,100.283203125
8.181828737258911,100.283203125
9.652344942092896,83.759765625
11.112632274627686,62.138671875
12.558609962463379,61.875
14.024628400802612,58.7109375
15.49036979675293,84.55078125
16.93772053718567,88.76953125
18.381383180618286,88.76953125
19.825507402420044,92.98828125
21.247767448425293,92.98828125
22.67501735687256,46.93359375
24.109118938446045,42.451171875
25.53562307357788,42.5390625
26.967649698257446,42.5390625
28.45033597946167,42.626953125
29.88551115989685,52.03125
31.322149515151978,20.91796875
32.789687395095825,-18.80859375
34.215498208999634,-22.587890625
35.62900757789612,-23.203125
37.0715708732605,-22.587890625
38.522584199905396,-16.69921875
39.93214297294617,-14.765625
41.36677289009094,-14.58984375
42.8180205821991,-14.58984375
