Timestamp,Value
1.3356103897094727,-22.587890625
2.8357088565826416,-22.587890625
4.303825616836548,-22.587890625
5.739569425582886,-22.587890625
7.212924242019653,-22.412109375
8.90717887878418,-22.412109375
10.376202583312988,-22.236328125
11.837696552276611,-22.32421875
13.295427083969116,-22.32421875
14.745863437652588,-22.412109375
16.221187591552734,-22.412109375
17.66905164718628,-21.708984375
19.093449115753174,-21.62109375
20.537055492401123,-22.412109375
21.944386959075928,-22.236328125
23.38428020477295,-22.32421875
24.824252605438232,-22.236328125
26.24226951599121,-21.97265625
27.714618921279907,-19.248046875
29.154998540878296,-12.48046875
30.60880446434021,-15.99609375
32.070902824401855,-15.908203125
33.49447846412659,-15.99609375
34.92512226104736,-15.99609375
36.36354470252991,-15.99609375
37.789191484451294,-15.99609375
39.219428300857544,-15.99609375
40.6578528881073,-15.99609375
42.0976083278656,-15.908203125
