Timestamp,Value
0.8130636215209961,-37.6171875
2.28806471824646,-37.6171875
3.736497402191162,-37.6171875
5.209839105606079,-37.6171875
6.650961875915527,-37.6171875
8.36637806892395,-32.34375
9.835413932800293,-31.025390625
11.29195761680603,-31.025390625
12.743211269378662,-31.025390625
14.201997756958008,-31.025390625
15.675167798995972,-30.9375
17.12983775138855,-31.025390625
18.55699610710144,-31.025390625
20.002892017364502,-30.9375
21.430077075958252,-30.9375
22.8575599193573,-30.9375
24.27843737602234,-30.9375
25.716594219207764,-31.025390625
27.120983362197876,-31.025390625
28.625977754592896,-31.11328125
30.06628656387329,-31.025390625
31.51156210899353,-30.9375
32.97006940841675,-30.849609375
34.38796639442444,-30.41015625
35.81295967102051,-30.05859375
37.24403166770935,-30.849609375
38.69181489944458,-30.322265625
40.12289118766785,-30.9375
41.54393291473389,-30.9375
42.99906349182129,-30.9375
