Timestamp,Value
1.0902233123779297,-93.69140625
2.555305004119873,-93.69140625
4.010505676269531,-93.69140625
5.473130941390991,-93.69140625
6.936385869979858,-93.69140625
8.639049291610718,-93.603515625
10.11193037033081,-68.818359375
11.550405263900757,-59.765625
13.01741361618042,-57.12890625
14.48070764541626,-68.642578125
15.956859350204468,-81.123046875
17.39292883872986,-84.375
18.84086847305298,-84.287109375
20.26787519454956,-84.287109375
21.69990372657776,-75.498046875
23.120132446289062,-40.517578125
24.554964065551758,-39.814453125
25.978214979171753,-39.90234375
27.443039417266846,-41.484375
28.893121242523193,-43.06640625
30.33460521697998,-43.06640625
31.792006731033325,2.373046875
33.237242460250854,38.3203125
34.649845123291016,39.19921875
36.07300925254822,39.287109375
37.53057813644409,39.287109375
38.95987343788147,38.408203125
40.38405442237854,39.111328125
41.83753252029419,38.232421875
43.262988805770874,38.232421875
